agent_id,NumberOfCalls,sentiment_per_agent,silence_per_agent
370723,4,-9.00E-02,0.367500007
980156,2,3.00E-02,0.559999987
663804,409,-17.92999986,0.279364303
488324,392,-8.600000044,0.283316326
198489,53,-0.670000022,0.284716981
955854,162,-7.599999959,0.280246912
342250,149,-3.769999934,0.261946309
917294,78,-2.939999998,0.271153846
414842,88,-0.919999963,0.287613637
293966,9,0.309999993,0.361111106
965878,438,-20.23000002,0.283949771
294450,45,-0.359999999,0.269555554
510903,115,-7.259999877,0.255739131
616988,4,-0.290000005,0.274999993
149315,427,-14.99000002,0.29440281
520243,13,-1.1,0.210000002
859203,4,0.229999999,0.240000003
113217,282,-9.480000036,0.263652482
575131,320,-8.860000188,0.28071875
418145,248,-6.420000099,0.284516129
957331,256,-8.93000002,0.285117189
251287,486,-16.76,0.282777777
906082,9,0.489999995,0.38666667
144120,285,-11.33000003,0.285333333
519791,47,-2.319999978,0.307446808
732843,292,-6.850000033,0.283732877
153460,418,-11.26999995,0.285669857
266799,259,-10.59999997,0.265868726
153182,78,-2.249999965,0.306153847
102574,2,-0.149999997,0.25999999
980508,299,-9.24999995,0.285752508
982131,270,-10.47999993,0.27662963
309976,333,-9.449999999,0.303123122
257436,42,-0.690000022,0.277857142
853776,23,-0.160000015,0.281304345
496568,237,-8.430000091,0.290928269
367706,313,-11.08000001,0.273354633
634959,135,-3.559999948,0.288222222
901722,307,-10.1699998,0.28980456
548155,2,-0.219999999,0.275000002
136065,7,-0.490000004,0.275714286
171021,410,-14.46999991,0.290853658
265196,240,-14.5,0.28825
281512,4,-0.100000001,0.299999991
459044,243,-4.970000071,0.281028807
743695,123,-4.609999996,0.302357723
888140,177,-7.889999932,0.279943503
275034,326,-13.96,0.264907976
937806,262,-9.769999983,0.289770992
183138,147,-5.519999988,0.281360544
414690,312,-7.379999947,0.268557692
347606,439,-14.49000003,0.295899772
532675,88,-1.34000002,0.282272727
645129,405,-16.44999996,0.291777778
229129,9,-0.270000013,0.241111113
814752,397,-11.52999997,0.272115869
870032,144,-7.459999999,0.265
582602,311,-3.93000005,0.266977492
860045,64,-3.790000021,0.279999998
570067,204,-4.210000012,0.28754902
993862,298,-10.54000002,0.273590604
784648,414,-9.600000063,0.281690821
306996,31,1.86E-09,0.327096775
374078,150,-4.280000051,0.269266666
699215,89,-2.770000001,0.280112359
789268,139,-2.639999943,0.302589927
641379,270,-9.149999972,0.294333333
757349,460,-14.70999998,0.284869565
974978,3,-0.29000001,0.533333321
461615,73,-1.949999984,0.289041096
720418,281,-9.179999966,0.288078292
786323,125,-2.289999966,0.285440001
915523,92,-3.409999957,0.270434781
575017,27,-1.509999989,0.31222222
764643,21,-0.570000002,0.345238094
432687,250,-5.769999901,0.2958
640212,140,-6.369999968,0.2665
676262,8,-0.349999996,0.18625
319947,175,-6.999999989,0.273314285
481174,104,-3.770000009,0.255769231
490672,103,-3.27999999,0.283786407
114609,67,-4.41999997,0.30835821
686999,447,-16.38000001,0.26442953
742430,62,-2.619999988,0.297903225
820369,161,-3.359999996,0.293850932
525820,71,-2.379999965,0.303521125
731015,243,-9.739999983,0.290205761
290097,334,-10.08000002,0.272425149
345872,140,-2.989999996,0.275714286
103651,298,-8.32999992,0.293389261
610271,353,-8.649999941,0.282351274
824457,18,-1.069999991,0.242777776
297033,8,-0.479999997,0.297500003
783441,3,-0.469999991,0.433333327
246791,248,-7.500000022,0.282258063
208992,324,-7.020000076,0.282962963
422969,433,-10.00000008,0.289376443
305039,272,-8.179999968,0.285882352
617241,76,-2.509999942,0.263157895
591324,314,-10.22000001,0.274012739
376294,183,-2.480000015,0.279125683
376343,452,-13.19999999,0.262323009
817160,271,-7.68000003,0.288892989
672758,223,-7.529999919,0.312017936
240399,12,7.00E-02,0.39166667
835105,177,-4.890000042,0.293559322
760378,157,-5.599999996,0.295605096
625605,120,-2.439999955,0.327916666
788101,6,-2.00E-02,0.403333331
311571,85,-6.200000033,0.287176471
750345,51,9.00E-02,0.260392158
355086,209,-4.190000005,0.300717703
506012,85,-5.21000007,0.266117647
575830,330,-11.34000004,0.269242424
724683,161,-4.659999968,0.283850931
526945,193,-4.050000027,0.297720207
618226,4,-0.139999993,0.362499988
274746,354,-15.05999999,0.27898305
633769,71,-3.900000008,0.29943662
158530,109,-4.780000042,0.294954128
540035,103,-4.139999989,0.294174757
413148,3,-0.240000006,0.253333335
107876,6,-0.390000001,0.405000001
526959,32,-0.550000038,0.283125002
338544,253,-8.62000001,0.294703557
894049,35,-1.800000023,0.319142854
483284,12,-0.65999998,0.24583333
121149,93,-3.299999991,0.300967743
479414,56,-3.759999927,0.292142855
850791,153,-4.859999957,0.261503268
462743,376,-11.01000005,0.280611702
880532,326,-7.300000044,0.292607362
543564,78,-2.389999999,0.258846152
619806,436,-16.46999992,0.281123854
805825,297,-12.76000003,0.296228956
131036,407,-16.59999993,0.295724815
295647,128,-5.359999998,0.28265625
335773,2,-0.309999999,0.159999995
855652,240,-8.029999962,0.275041666
597058,302,-12.69000007,0.303476821
250675,351,-12.97000002,0.287977208
348998,284,-8.01999988,0.292042253
342345,272,-8.480000108,0.284301471
477699,127,-6.839999922,0.324094488
640550,258,-5.640000029,0.277170542
292344,57,-1.29000001,0.291929823
594957,481,-23.4899999,0.262598753
187770,44,7.00E-02,0.286363635
422417,267,-13.14,0.288988764
171689,132,-5.729999896,0.269242423
302709,236,-10.34000011,0.293855932
547592,1,0,0.100000001
400977,52,-2.000000004,0.280192307
926550,361,-11.72000001,0.31
938715,218,-4.950000064,0.281926605
576990,46,-1.449999999,0.311086958
377855,31,-2.790000005,0.279032259
618490,333,-11.35000002,0.266996997
357929,104,-2.610000048,0.26625
605855,280,-8.910000008,0.271392857
263480,315,-7.949999914,0.284571428
976024,151,-5.29999998,0.265099338
132311,292,-13.74000005,0.282431507
798578,37,-2.050000006,0.262162162
470395,296,-10.57000002,0.294493243
349957,366,-7.579999961,0.258661201
357288,250,-10.60999988,0.27464
901274,11,1.00E-02,0.405454553
860848,117,-4.48000004,0.278461539
688153,94,-4.340000033,0.303404255
901589,384,-11.02000006,0.283125
748700,244,-4.570000093,0.272868851
731717,216,-8.589999961,0.287546295
734708,342,-12.49000003,0.287543859
404951,77,-3.190000029,0.309740259
522981,32,-1.519999987,0.335937497
753059,79,-3.419999998,0.292658227
721730,328,-13.06000001,0.272957316
677860,33,0.680000024,0.267272729
499403,384,-11.06999997,0.282760417
803198,195,-4.16,0.275333333
302873,141,-4.579999983,0.283333333
910145,329,-12.08000015,0.28361702
181820,361,-8.800000055,0.286066482
878048,340,-8.310000027,0.285911764
637585,162,-2.039999964,0.269320988
519057,430,-16.90999998,0.295906976
869435,69,-2.909999957,0.343188406
541395,94,-1.759999972,0.288191488
434222,6,-0.989999983,0.18333333
201204,7,0.120000003,0.272857146
506130,1,-3.00E-02,0.389999986
379781,147,-5.110000087,0.30462585
422028,9,-0.889999999,0.322222221
817413,136,-4.320000067,0.287352941
915618,414,-13.60999992,0.281956521
804369,76,-2.499999996,0.314605263
769083,155,-7.829999961,0.303741936
261911,280,-8.380000023,0.281857144
652524,78,-2.670000002,0.303589743
835959,7,-0.499999993,0.294285715
519294,303,-10.35999998,0.305247525
845399,111,-5.409999993,0.267567566
819946,379,-15.06000003,0.282374669
795478,156,-2.53000002,0.295320512
926175,7,0.189999996,0.255714291
189362,76,-3.489999956,0.318421053
289402,378,-12.01000008,0.272936509
650595,151,-4.340000009,0.286953643
390819,380,-5.12999998,0.275421052
436472,379,-10.54999998,0.290659631
590950,297,-9.379999908,0.297373736
437196,195,-8.160000009,0.276666666
872306,12,-0.21000001,0.290833337
675344,289,-10.42,0.298858132
524049,404,-13.15999999,0.282425742
855386,268,-7.969999947,0.277649253
271366,123,-6.039999928,0.300569106
715813,355,-7.499999933,0.289802817
720977,128,-4.209999997,0.295468748
780490,3,-0.289999995,0.350000004
595713,347,-13.63000001,0.28556196
782259,310,-6.779999994,0.299741935
675727,162,-4.079999946,0.294938271
897227,315,-8.520000022,0.277142857
192245,375,-13.59999998,0.289653333
436160,262,-11.73000001,0.290381678
937733,49,-0.199999992,0.281020409
349127,31,0.389999971,0.318709676
683244,154,-4.93000003,0.307012987
730111,52,-2.360000001,0.263846154
266966,242,-8.219999949,0.297644628
758927,381,-8.280000022,0.291049868
308266,295,-10.57000001,0.267288135
650323,137,-5.539999969,0.311970803
852069,58,-1.890000015,0.282413793
158319,393,-15.93999995,0.280152671
255256,3,0.110000001,0.443333318
336455,3,-0.209999999,0.356666674
289288,26,-1.099999987,0.238846152
